x, n0
2375, 98
2376, 99
2377, 100
2378, 101
2379, 102
2380, 99
2381, 100
2382, 101
2383, 102
2384, 103
2385, 99
2386, 100
2387, 101
2388, 102
2389, 103
2390, 99
2391, 100
2392, 101
2393, 102
2394, 103
2395, 99
2396, 100
2397, 101
2398, 102
2399, 103
2400, 100
2401, 101
2402, 102
2403, 103
2404, 104
2405, 105
2406, 106
2407, 107
2408, 108
2409, 109
2410, 110
2411, 111
2412, 112
2413, 113
2414, 114
2415, 115
2416, 116
2417, 117
2418, 118
2419, 119
2420, 120
2421, 121
2422, 122
2423, 123
2424, 125
2425, 151
2426, 152
2427, 153
2428, 153
2429, 155
2430, 155
2431, 156
2432, 157
2433, 158
2434, 160
2435, 160
2436, 161
2437, 162
2438, 163
2439, 165
2440, 165
2441, 166
2442, 167
2443, 168
2444, 170
2445, 170
2446, 171
2447, 172
2448, 174
2449, 176
2450, -1
2451, -1
2452, -1
2453, -1
2454, -1
2455, -1
2456, -1
2457, -1
2458, -1
2459, -1
2460, -1
2461, -1
2462, -1
2463, -1
2464, -1
2465, -1
2466, -1
2467, -1
2468, -1
2469, -1
2470, -1
2471, -1
2472, -1
2473, -1
2474, -1
2475, -1
2476, -1
2477, -1
2478, -1
2479, -1
2480, -1
2481, -1
2482, -1
2483, -1
2484, -1
2485, -1
2486, -1
2487, -1
2488, -1
2489, -1
2490, -1
2491, -1
2492, -1
2493, -1
